Questions,A,B,C,D,Answer
Why wasn’t the Franklin stove successful?,The stove didn’t reliably reduce the amount of smoke in the room.,The stove increased the amount of smoke given off.,The stove didn’t properly heat the room.,The stove didn’t properly heat the room.,B
"What is this passage ""Benjamin Franklin: The Ultimate Solution Creator"" mainly about?",the U.S. patent system,the invention of the lightning rod,population growth in the American colonies,Benjamin Franklin and his many inventions,D
What new users can experienced when they first wear bifocals?,headaches,Dizziness,vision deficiencies,Both a) and b),D
During Benjamin Franklin's lifetime what were the only way to heat one’s home?,Franklin stove.,Burning wood or scrap,fireplaces and stoves,None of these,C
"To combat the issues of much smoke filling homes and inefficient heating, What new system was created by Franklin?",U.S. patent system,Franklin stove,lighting rod,Bifocal glasses,B
when Franklin was appointed the first Postmaster General of the American colonies?,1775,1755,1730,1715,A
Which essay explained that rapid population growth usually accompanied an abundance of food supplies?,Observations on the Increase of Mankind,"Benjamin Franklin: The Ultimate Solution Creator Assign Print  
",pros and cons,All the above,A
All of the men were nervous as they waited. But who was the most nervous person there?,computer scientists,Alexander Graham Bell,Len Kleinrock,Thomas Watson,C
In which year ARPA created a new department devoted to Watson science?,1960,1962,1969,1961,C
To whom did the Golden shares his predictions as a futurist?,Electric cars,parking spaces,unique environment,public transportation,A
What does Garry Golden spend most of his days studying?,new laws to limit the number of cars,making scientific predictions about the future," the relationships between cars, subways, and trains.",None of these,C
What Futurists have hope to do?,Houston approaches things to understand the country,imagining the way these relationships will change in the next 20 years.,analyze the way the world is today and use that information to make predictions about what the world will be like in the future.,"by making scientific predictions about the future, we can make better decisions today.",D
When and where did Louis Braille born?,"January 4, 1809","January 4, 1810","January 14, 1809","January 14, 1810",A
What was the name of first school in the world devoted to blind children?,Royal Institute for Blind Youth in Paris,The Western Pennsylvania School for Blind,W. Ross Macdonald School,None of these,A
What was the profession of Louis Brailles's Father?,Doctor,A leather worker,Buisness man,Carpenter,B
What was the tribute given to Bell when he died?,the entire telephone system was shut down for one hour,the entire television system was shut down for one minute,The entire telephone system was shut down for one minute,None of these,C
" Instead of focusing on a multiple-signal transmission device, Bell and Watson focused much of their time on what things ?",To transmit the human voice over wires.,Drafting the drawings of the device for the patent.,To Transmitted multiple signals over a single wire.,Teaching to deaf students.,A
